stock_id,ticker,company_name,sector,industry,country,market_cap,p_e,price,change,volume,upcoming_earnings,etf,is_options_exists,round_lot_size,create_date,update_date
24c1570e-7ab3-4a02-92b4-dfc2b15831f5,LYV,Live Nation Entertainment Inc,Communication Services,Entertainment,USA,404,64.4,93.25,-0.62%,404,7/19/2024,FALSE,FALSE,100,,
5123e4b4-9262-4dbb-9b64-7f297a36d9b8,MA,Mastercard Incorporated,Financial,Credit Services,USA,404,39.57,468.13,-0.67%,404,7/20/2024,FALSE,FALSE,100,,
f13c54ab-78a1-4c8a-8ac2-9f49410df7db,MARA,Marathon Digital Holdings Inc,Financial,Capital Markets,USA,404,-,26.94,-0.30%,404,7/21/2024,FALSE,FALSE,100,,
c55d0101-f2ef-4a37-847e-7b1960880038,MCD,McDonald's Corp,Consumer Cyclical,Restaurants,USA,404,25.25,292.02,0.05%,404,7/22/2024,FALSE,FALSE,100,,
7603251b-0124-4da9-bf0b-38b07cb32db2,MCO,Moody's Corp.,Financial,Financial Data & Stock Exchanges,USA,404,42.44,370.76,-0.66%,404,7/23/2024,FALSE,FALSE,100,,
e8e8f1dc-2d67-4374-b6b6-41f73a15c6d7,MDB,MongoDB Inc,Technology,Software - Infrastructure,USA,404,-,465.06,-1.93%,404,7/24/2024,FALSE,FALSE,100,,
d5c238bd-9de9-4045-80e6-fcb53c4ff3c6,MDLZ,Mondelez International Inc.,Consumer Defensive,Confectioners,USA,404,19.89,71.98,0.52%,404,7/25/2024,FALSE,FALSE,100,,
1879e05c-8c15-41d5-b657-1f85b5368c1c,META,Meta Platforms Inc,Communication Services,Internet Content & Information,USA,404,31.77,473.32,-2.21%,404,7/26/2024,FALSE,FALSE,100,,
7b56da29-8ed2-484b-b0b2-79c6dfc04be8,MGM,MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,404,13.43,42.54,-1.30%,404,7/27/2024,FALSE,FALSE,100,,
eeb7e994-3bb7-4a67-8066-11fcdab76b77,MMC,"Marsh & McLennan Cos., Inc.",Financial,Insurance Brokers,USA,404,26.62,200.3,-0.34%,404,7/28/2024,FALSE,FALSE,100,,
77b93f35-d4df-4ee6-b29e-185f996d6dbf,MNST,Monster Beverage Corp.,Consumer Defensive,Beverages - Non-Alcoholic,USA,404,37.23,55.02,-2.05%,404,7/29/2024,FALSE,FALSE,100,,
166ce9d1-1812-42d8-9f94-ef7a08427b87,MPLX,MPLX LP,Energy,Oil & Gas Midstream,USA,404,10.25,39.03,0.39%,404,7/30/2024,FALSE,FALSE,100,,
3249d41c-49f7-43cc-a847-7e8451f4df8b,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,404,36.54,404.06,-0.61%,404,7/31/2024,FALSE,FALSE,100,,
1a7ddc86-916e-4e5e-af7d-d4ac2ef9e825,MTCH,Match Group Inc.,Communication Services,Internet Content & Information,USA,404,16.54,37.59,-0.16%,404,08-01-2024,FALSE,FALSE,100,,
c7f8b4b0-fc45-439d-90cb-9eeaf040ee31,NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,USA,404,54.45,132.31,-1.26%,404,08-02-2024,FALSE,FALSE,100,,
17d9ee7c-9441-486b-baa4-6b0a34869711,NE,Noble Corp Plc,Energy,Oil & Gas Drilling,USA,404,13.56,43.28,-0.82%,404,08-03-2024,FALSE,FALSE,100,,
3a3d1bd8-04c2-4e9d-9375-81d4268aaf61,NET,Cloudflare Inc,Technology,Software - Infrastructure,USA,404,-,98.52,-2.67%,404,08-04-2024,FALSE,FALSE,100,,
3db8f464-5c26-4890-a56e-f18698b8cf48,NFLX,Netflix Inc.,Communication Services,Entertainment,USA,404,48.59,583.95,-1.60%,404,08-05-2024,FALSE,FALSE,100,,
1d76910e-0192-4511-84fc-efab5f9cd90c,NNN,NNN REIT Inc,Real Estate,REIT - Retail,USA,404,18.92,40.8,0.37%,404,08-06-2024,FALSE,FALSE,100,,
c307d1ac-04cc-47a5-a183-4af69ee094ec,NOW,ServiceNow Inc,Technology,Software - Application,USA,404,90.89,765,-1.92%,404,08-07-2024,FALSE,FALSE,100,,
91c15ff5-91c7-4d8e-b4a2-39d874ec5c70,NS,Nustar Energy L P,Energy,Oil & Gas Midstream,USA,404,25.69,23.32,0.60%,404,08-08-2024,FALSE,FALSE,100,,
687c5957-b8cf-4d18-bb5a-8f34951e5a56,NTNX,Nutanix Inc,Technology,Software - Infrastructure,USA,404,-,58.34,-1.35%,404,08-09-2024,FALSE,FALSE,100,,
0ccda1d2-99f6-49ef-9d6e-aa04c1c2256f,NTRA,Natera Inc,Healthcare,Diagnostics & Research,USA,404,-,70.01,0.44%,404,08-10-2024,FALSE,FALSE,100,,
7228b149-f45b-4c07-aa4f-122e4edf5b32,NVDA,NVIDIA Corp,Technology,Semiconductors,USA,404,95.88,726.13,-0.06%,404,08-11-2024,FALSE,FALSE,100,,
740c206a-55fc-4373-86f7-bb174dbf8771,OHI,"Omega Healthcare Investors, Inc.",Real Estate,REIT - Healthcare Facilities,USA,404,31.45,30.95,0.58%,404,08-12-2024,FALSE,FALSE,100,,
